dataset,instance,file,vertices,best_known,upper_bound
PACE 2019,vc-exact_123,vc-exact_123.gr,26300,10000,10000
PACE 2019,vc-exact_124,vc-exact_124.gr,26300,10000,10000
PACE 2019,vc-exact_125,vc-exact_125.gr,26300,10000,10000
PACE 2019,vc-exact_126,vc-exact_126.gr,18096,6911,6911
PACE 2019,vc-exact_127,vc-exact_127.gr,18096,6911,6911
PACE 2019,vc-exact_128,vc-exact_128.gr,26300,10000,10000
PACE 2019,vc-exact_129,vc-exact_129.gr,15783,6028,6028
PACE 2019,vc-exact_130,vc-exact_130.gr,26300,10000,10000
PACE 2019,vc-exact_131,vc-exact_131.gr,2980,1060,1060
PACE 2019,vc-exact_132,vc-exact_132.gr,15783,6028,6028
PACE 2019,vc-exact_133,vc-exact_133.gr,15783,6028,6028
PACE 2019,vc-exact_134,vc-exact_134.gr,26300,10000,10000
PACE 2019,vc-exact_135,vc-exact_135.gr,26300,10000,10000
PACE 2019,vc-exact_136,vc-exact_136.gr,18096,6911,6911
PACE 2019,vc-exact_137,vc-exact_137.gr,26300,10000,10000
PACE 2019,vc-exact_138,vc-exact_138.gr,18096,6911,6911
PACE 2019,vc-exact_139,vc-exact_139.gr,18096,6911,6911
PACE 2019,vc-exact_140,vc-exact_140.gr,26300,10000,10000
PACE 2019,vc-exact_141,vc-exact_141.gr,18096,6911,6911
PACE 2019,vc-exact_142,vc-exact_142.gr,2980,1060,1060
PACE 2019,vc-exact_143,vc-exact_143.gr,18096,6911,6911
PACE 2019,vc-exact_144,vc-exact_144.gr,26300,10000,10000
PACE 2019,vc-exact_145,vc-exact_145.gr,18096,6911,6911
PACE 2019,vc-exact_146,vc-exact_146.gr,26300,10000,10000
PACE 2019,vc-exact_147,vc-exact_147.gr,18096,6911,6911
PACE 2019,vc-exact_148,vc-exact_148.gr,26300,10000,10000
PACE 2019,vc-exact_149,vc-exact_149.gr,26300,10000,10000
PACE 2019,vc-exact_150,vc-exact_150.gr,26300,10000,10000
PACE 2019,vc-exact_151,vc-exact_151.gr,15783,6028,6028
PACE 2019,vc-exact_152,vc-exact_152.gr,13590,5190,5190
PACE 2019,vc-exact_153,vc-exact_153.gr,29076,11083,11083
PACE 2019,vc-exact_154,vc-exact_154.gr,15783,6028,6028
PACE 2019,vc-exact_155,vc-exact_155.gr,26300,10000,10000
PACE 2019,vc-exact_156,vc-exact_156.gr,450,30,30
PACE 2019,vc-exact_157,vc-exact_157.gr,2980,1060,1060
PACE 2019,vc-exact_158,vc-exact_158.gr,15783,6028,6028
PACE 2019,vc-exact_159,vc-exact_159.gr,18096,6911,6911
PACE 2019,vc-exact_160,vc-exact_160.gr,18096,6911,6911
PACE 2019,vc-exact_161,vc-exact_161.gr,138141,51496,51496
PACE 2019,vc-exact_162,vc-exact_162.gr,50635,18900,18900
PACE 2019,vc-exact_163,vc-exact_163.gr,18096,6911,6911
PACE 2019,vc-exact_164,vc-exact_164.gr,29296,11154,11154
PACE 2019,vc-exact_165,vc-exact_165.gr,18096,6911,6911
PACE 2019,vc-exact_166,vc-exact_166.gr,3278,1166,1166
PACE 2019,vc-exact_167,vc-exact_167.gr,15783,6028,6028
PACE 2019,vc-exact_168,vc-exact_168.gr,2980,1060,1060
PACE 2019,vc-exact_169,vc-exact_169.gr,4768,1696,1696
PACE 2019,vc-exact_170,vc-exact_170.gr,15783,6028,6028
PACE 2019,vc-exact_171,vc-exact_171.gr,18096,6911,6911
PACE 2019,vc-exact_172,vc-exact_172.gr,4025,1410,1410
PACE 2019,vc-exact_173,vc-exact_173.gr,56860,23004,23004
PACE 2019,vc-exact_174,vc-exact_174.gr,2980,1060,1060
PACE 2019,vc-exact_175,vc-exact_175.gr,3523,1241,1241
PACE 2019,vc-exact_176,vc-exact_176.gr,15783,6028,6028
PACE 2019,vc-exact_177,vc-exact_177.gr,5066,1802,1802
PACE 2019,vc-exact_178,vc-exact_178.gr,18096,6911,6911
PACE 2019,vc-exact_179,vc-exact_179.gr,15783,6028,6028
PACE 2019,vc-exact_180,vc-exact_180.gr,15783,6028,6028
PACE 2019,vc-exact_181,vc-exact_181.gr,18096,6911,6911
PACE 2019,vc-exact_182,vc-exact_182.gr,26300,10000,10000
PACE 2019,vc-exact_183,vc-exact_183.gr,72420,27082,27082
PACE 2019,vc-exact_184,vc-exact_184.gr,6290,2210,2210
PACE 2019,vc-exact_185,vc-exact_185.gr,3523,1241,1241
PACE 2019,vc-exact_186,vc-exact_186.gr,26300,10000,10000
PACE 2019,vc-exact_187,vc-exact_187.gr,4227,1489,1489
PACE 2019,vc-exact_188,vc-exact_188.gr,6660,2340,2340
PACE 2019,vc-exact_189,vc-exact_189.gr,7400,2600,2600
PACE 2019,vc-exact_190,vc-exact_190.gr,3875,1365,1365
PACE 2019,vc-exact_191,vc-exact_191.gr,4579,1613,1613
PACE 2019,vc-exact_192,vc-exact_192.gr,2980,1060,1060
PACE 2019,vc-exact_193,vc-exact_193.gr,7030,2470,2470
PACE 2019,vc-exact_194,vc-exact_194.gr,1150,50,50
PACE 2019,vc-exact_195,vc-exact_195.gr,1150,50,50
PACE 2019,vc-exact_196,vc-exact_196.gr,1534,59,59
PACE 2019,vc-exact_197,vc-exact_197.gr,1534,59,59
PACE 2019,vc-exact_198,vc-exact_198.gr,1150,50,50
PACE 2019,vc-exact_199,vc-exact_199.gr,1534,59,59
PACE 2019,vc-exact_200,vc-exact_200.gr,1150,50,50
